imdb,year,title,code
tf0110622,1994,Naked Gun 33 1/3: The Final Insult,Update
tf0110857,1994,Police Academy: Mission to Moscow,Update
tf0110889,1994,Priest,Update
tf0110912,1994,Pulp Fiction,Update
tf0111070,1994,The Santa Clause,Update
tf0111143,1994,The Shadow,Update
tf0111161,1994,The Shawshank Redemption,Update
tf0111255,1994,The Specialist,Update
tf0111257,1994,Speed,Update
tf0111282,1994,Stargate,Update
tf0111301,1994,Street Fighter,Update
tf0111438,1994,Timecop,Update
tf0111503,1994,True Lies,Update
tf0112130,1995,Pride and Prejudice,Update
tf0112346,1995,The American President,Update
tf0112384,1995,Apollo 13,Update
tf0112389,1993,The Princess and the Cobbler,Update
tf0112401,1995,Assassins,Update
tf0112462,1995,Batman Forever,Update
tf0112471,1995,Before Sunrise,Update
tf0112573,1995,Braveheart,Update
tf0112579,1995,The Bridges of Madison County,Update
tf0112641,1995,Casino,Update
tf0112642,1995,Casper,Update
tf0112697,1995,Clueless,Update
tf0112715,1995,Congo,Update
tf0112722,1995,Copycat,Update
tf0112864,1995,Die Hard: With a Vengeance,Update
tf0113101,1995,Four rooms,Update
tf0113321,1995,Home for the holidays,Update
tf0113416,1995,The Incredibly True Adventures of Two Girls in Love,Update
tf0113497,1995,Jumanji,Update
tf0113749,1995,Mallrats,Update
tf0113855,1995,Mortal Kombat,Update
tf0113957,1995,The Net,Update
tf0114069,1995,Outbreak,Update
tf0114148,1995,Pocahontas,Update
tf0114214,1995,The Quick and the Dead,Update
tf0114319,1995,Sabrina,Update
tf0114323,1995,Safe,Update
tf0114369,1995,Se7en,Update
tf0114388,1995,Sense and Sensibility,Update
tf0114436,1995,Showgirls,Update
tf0114508,1995,Species,Update
tf0114614,1995,Tank Girl,Update
tf0114709,1995,Toy Story,Update
tf0114746,1995,Twelve Monkeys,Update
tf0114814,1995,The Usual Suspects,Update
tf0114898,1995,Waterworld,Update
tf0114906,1995,Welcome to the Dollhouse,Update
tf0115591,1996,August,Update
tf0115736,1996,Bound,Update
tf0115759,1996,Broken Arrow,Update
tf0115798,1996,The Cable Guy,Update
tf0115856,1996,When the Cat&#39;s Away,Update
tf0115857,1996,Chain Reaction,Update
tf0115963,1996,The Craft,Update
tf0116136,1996,DragonHeart,Update
tf0116191,1996,Emma,Update
tf0116209,1996,The English Patient,Update
tf0116225,1996,Escape from L.A.,Update
tf0116260,1996,Eye for an Eye,Update
tf0116277,1996,The Fan,Update
tf0116282,1996,Fargo,Update
tf0116313,1996,The First Wives Club,Update
tf0116361,1996,Freeway,Update
tf0116367,1996,From Dusk Till Dawn,Update
tf0116421,1996,The Glimmer Man,Update
tf0116477,1996,Hamlet,Update
tf0116493,1996,Harriet the Spy,Update
tf0116583,1996,The Hunchback of Notre Dame,Update
tf0116629,1996,Independence Day,Update
tf0116705,1996,Jingle All the Way,Update
tf0116778,1996,Kingpin,Update
tf0116908,1996,The Long Kiss Goodnight,Update
tf0116931,1996,Love and Other Catastrophes,Update
tf0116996,1996,Mars Attacks!,Update
tf0117057,1996,The Mirror Has Two Faces,Update
tf0117060,1996,Mission: Impossible,Update
tf0117500,1996,The Rock,Update
tf0117509,1996,Romeo + Juliet,Update
tf0117571,1996,Scream,Update
tf0117589,1996,Secrets &amp; Lies,Update
tf0117603,1996,Set It Off,Update
tf0117705,1996,Space Jam,Update
tf0117723,1996,Spy Hard,Update
tf0117731,1996,Star Trek: First Contact,Update
tf0117765,1996,Striptease,Update
tf0117887,1996,That Thing You Do!,Update
tf0117951,1996,Trainspotting,Update
tf0117998,1996,Twister,Update
tf0118113,1996,Walking and Talking,Update
tf0118570,1997,Air Bud,Update
tf0118571,1997,Air Force One,Update
tf0118583,1997,Alien: Resurrection,Update
tf0118617,1997,Anastasia,Update
tf0118655,1997,Austin Powers: International Man of Mystery,Update
tf0118661,1998,The Avengers,Update
tf0118688,1997,Batman &amp; Robin,Update
tf0118715,1998,The Big Lebowski,Update
tf0118749,1997,Boogie Nights,Update
tf0118789,1998,Buffalo &#39;66,Update
tf0118829,1997,Cats Don&#39;t Dance,Update
tf0118842,1997,Chasing Amy,Update
tf0118866,1997,Clockwatchers,Update
tf0118880,1997,Con Air,Update
tf0118883,1997,Conspiracy Theory,Update
tf0118884,1997,Contact,Update
tf0118929,1998,Dark City,Update
tf0118971,1997,The Devil&#39;s Advocate,Update
tf0119080,1997,Eve&#39;s Bayou,Update
tf0119081,1997,Event Horizon,Update
tf0119114,1997,Fever Pitch,Update
tf0119116,1997,The Fifth Element,Update
tf0119137,1997,Flubber,Update
tf0119173,1997,G.I. Jane,Update
tf0119174,1997,The Game,Update
tf0119177,1997,Gattaca,Update
tf0119190,1997,George of the Jungle,Update
tf0119217,1997,Good Will Hunting,Update
tf0119229,1997,Grosse Pointe Blank,Update
tf0119282,1997,Hercules,Update
tf0119313,1998,Hope Floats,Update
tf0119345,1997,I Know What You Did Last Summer,Update
tf0119361,1997,In the Company of Men,Update
tf0119396,1997,Jackie Brown,Update
tf0119468,1997,Kiss the Girls,Update
tf0119488,1997,L.A. Confidential,Update
tf0119528,1997,Liar Liar,Update
tf0119567,1997,The Lost World: Jurassic Park,Update
tf0119654,1997,Men in Black,Update
tf0119698,1997,Mononoke-hime,Update
tf0119707,1997,Mortal Kombat: Annihilation,Update
tf0119738,1997,My Best Friend&#39;s Wedding,Update
tf0119822,1997,As Good as It Gets,Update
tf0119874,1997,The Peacemaker,Update
tf0119925,1997,The Postman,Update
tf0119942,1998,Primary Colors,Update
tf0120082,1997,Scream 2,Update
tf0120094,1997,Selena,Update
tf0120108,1998,The Proposition,Update
tf0120133,1997,A Simple Wish,Update
tf0120148,1998,Sliding Doors,Update
tf0120152,1997,Smilla&#39;s Sense of Snow,Update
tf0120177,1997,Spawn,Update
tf0120184,1998,Sphere,Update
tf0120201,1997,Starship Troopers,Update
tf0120321,1998,Smoke Signals,Update
tf0120338,1997,Titanic,Update
tf0120363,1999,Toy Story 2,Update
tf0120382,1998,The Truman Show,Update
tf0120458,1999,Virus,Update
tf0120461,1997,Volcano,Update
tf0120577,1998,54,Update
tf0120586,1998,American History X,Update
tf0120591,1998,Armageddon,Update
tf0120601,1999,Being John Malkovich,Update
tf0120603,1998,Beloved,Update
tf0120611,1998,Blade,Update
tf0120616,1999,The Mummy,Update
tf0120623,1998,A Bug&#39;s Life,Update
tf0120630,2000,Chicken Run,Update
tf0120631,1998,Ever After,Update
tf0120647,1998,Deep Impact,Update
tf0120655,1999,Dogma,Update
tf0120657,1999,The 13th Warrior,Update
tf0120660,1998,Enemy of the State,Update
tf0120663,1999,Eyes Wide Shut,Update
tf0120667,2005,Fantastic Four,Update
tf0120669,1998,Fear and Loathing in Las Vegas,Update
tf0120679,2002,Frida,Update
tf0120681,2001,From Hell,Update
tf0120685,1998,Godzilla,Update
tf0120686,1998,Stepmom,Update
tf0120689,1999,The Green Mile,Update
tf0120694,1998,Halloween H20: 20 Years Later,Update
tf0120735,1998,"Lock, Stock and Two Smoking Barrels",Update
tf0120737,2001,The Lord of the Rings: The Fellowship of the Ring,Update
tf0120738,1998,Lost in Space,Update
tf0120744,1998,The Man in the Iron Mask,Update
tf0120746,1998,The Mask of Zorro,Update
tf0120749,1998,Mercury Rising,Update
tf0120762,1998,Mulan,Update
